kecamatan,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025
Bungursari,3.1,3.2,4.0,5.0,1.0,1.0,2.0,3.2,4.0,4.0,1.0,2.0,3.1,3.2,4.0,1.0,1.0
Cibeureum,1.0,2.0,3.1,3.2,4.0,5.0,1.0,2.0,3.1,4.0,4.0,5.0,1.0,2.0,3.1,3.2,5.0
Cihideung,3.1,3.2,4.0,5.0,1.0,1.0,2.0,3.2,4.0,5.0,1.0,2.0,3.1,1.0,1.0,2.0,1.0
Cipedes,3.2,4.0,5.0,1.0,2.0,3.2,4.0,1.0,2.0,3.1,3.3,4.0,1.0,2.0,3.1,3.2,4.0
Indihiang,1.0,2.0,3.1,3.2,1.0,1.0,2.0,3.3,4.0,5.0,1.0,2.0,3.2,4.0,1.0,2.0,3.2
Kawalu,5.0,2.0,5.0,3.2,4.0,4.5,4.5,4.5,4.5,5.0,1.0,5.0,1.0,2.0,3.1,4.0,5.0
Mangkubumi,1.0,2.0,3.1,3.2,4.0,1.0,2.0,3.1,4.0,5.0,5.0,1.0,2.0,3.2,4.0,5.0,1.0
Purbaratu,1.0,2.0,3.1,3.2,4.0,1.0,1.0,2.0,3.1,4.0,5.0,1.0,2.0,3.1,4.0,1.0,5.0
Tamansari,1.0,2.0,3.2,4.0,4.0,5.0,1.0,2.0,3.2,3.2,4.0,5.0,1.0,2.0,3.1,4.0,5.0
Tawang,1.0,2.0,3.1,3.2,4.0,4.5,1.0,2.0,4.5,4.5,5.0,5.0,1.0,2.0,3.2,4.0,5.0
